排名,国家,深度学习模型得分,熵权法得分,差异
1,USA,84.62287,84.62385365058634,-0.000982251660559541
2,China,63.77408,63.77339626998379,0.0006820991568332602
3,UAE,22.029928,22.01807637872533,0.011851828672131859
4,UK,15.747653,15.767644178057688,-0.019991170550364146
5,South Korea,15.447497,15.43608009613749,0.01141727172139717
6,France,10.784971,10.71133907631719,0.07363216086542756
7,Canada,10.755789,10.76949929749755,-0.013710494396963924
8,Japan,10.196316,10.163657978660625,0.03265778672023423
9,Germany,9.223225,9.470721234054126,-0.24749659416154834
10,India,6.9649854,6.798545953865549,0.16643941677043728
