排名,国家,深度学习模型得分,熵权法得分,差异
1,USA,87.00711,87.00665511219485,0.0004554835082757336
2,China,80.48803,80.48691933394214,0.0011101460383287076
3,UAE,57.338608,57.33789203346733,0.0007157546186107311
4,UK,49.555485,49.5546736910509,0.0008110806776144841
5,South Korea,43.9369,43.934934614867,0.001966477662300292
6,Canada,39.26473,39.2629011873719,0.0018273587706758576
7,France,31.65876,31.659094658892688,-0.0003345880919063404
8,Germany,27.999619,27.998301886658744,0.0013166436146931915
9,Japan,27.832682,27.832501632829626,0.0001800230541633141
10,India,21.634617,21.63397775632303,0.0006390954836099638
