年份_国家,Top_Scholars,Total_Prof,STEM_Scale,STEM_Intensity,Migration_Idx,Skill_Pen,Papers,FWCI,Patents,Compute_E,Power_MW,GPU_Stock,5G_Cover,Investment,Unicorns,GDP_Contrib,Adoption,Policy,Data_Open
2016_USA,39.48,99.40,59.50,14.51,0.64,1.54,11.05,0.94,0.20,4.25,10750.00,31.00,49.25,5.26,16.25,1.55,32.50,6.16,6.58
2016_China,17.36,80.50,339.50,28.29,0.01,1.05,10.95,0.40,0.66,2.10,6240.00,10.50,29.76,1.73,8.60,0.87,22.50,6.79,6.16
2016_UAE,0.42,5.04,1.96,16.33,0.67,1.33,0.03,0.06,0.00,0.78,340.00,1.75,4.85,0.69,0.45,0.18,3.10,6.93,5.46
2016_UK,4.27,27.30,13.30,14.45,0.17,1.26,2.45,0.74,0.03,0.23,1050.00,0.60,46.00,0.45,1.50,1.05,24.00,6.30,6.30
2016_France,2.80,18.20,11.90,14.00,0.22,0.91,1.80,0.78,0.02,0.26,1100.00,0.75,46.50,0.33,0.70,0.90,22.50,5.74,5.60
2016_South Korea,1.75,13.30,11.20,18.07,-0.01,1.12,1.65,0.59,0.11,0.44,1600.00,1.10,49.75,0.21,0.50,1.10,25.50,6.16,5.74
2016_Japan,1.19,18.90,15.40,23.70,-0.07,0.77,1.35,0.51,0.10,0.46,2100.00,0.90,48.00,0.18,0.40,0.60,19.00,5.95,5.60
2016_Germany,2.17,22.40,15.40,22.64,0.07,0.98,1.95,0.68,0.04,0.19,825.00,0.45,47.50,0.32,0.80,0.85,27.50,5.46,5.25
2016_Canada,2.94,14.70,9.10,16.55,0.32,1.19,1.50,0.82,0.01,0.13,700.00,0.30,45.50,0.24,0.65,0.80,21.00,5.95,5.95
2016_India,1.26,61.60,185.50,17.67,-0.32,2.31,3.40,0.41,0.07,0.16,625.00,0.40,44.00,0.23,0.80,0.70,34.00,5.25,4.76
2017_USA,41.36,104.13,62.33,15.20,0.67,1.61,12.28,1.04,0.21,4.60,11944.44,33.55,54.72,5.69,17.59,1.72,36.11,6.45,6.89
2017_China,18.19,84.33,355.67,29.64,0.01,1.10,13.79,0.50,0.71,2.27,7857.78,11.36,37.48,1.87,9.31,1.10,28.33,7.11,6.45
2017_UAE,0.44,5.28,2.05,17.11,0.70,1.39,0.08,0.19,0.00,0.84,1057.78,1.89,15.09,0.75,0.49,0.54,9.64,7.26,5.72
2017_UK,4.47,28.60,13.93,15.14,0.18,1.32,2.72,0.82,0.03,0.24,1166.67,0.65,51.11,0.48,1.62,1.17,26.67,6.60,6.60
2017_France,2.93,19.07,12.47,14.67,0.23,0.95,2.00,0.86,0.02,0.28,1222.22,0.81,51.67,0.35,0.76,1.00,25.00,6.01,5.87
2017_South Korea,1.83,13.93,11.73,18.93,-0.01,1.17,1.83,0.66,0.12,0.48,1777.78,1.19,55.28,0.23,0.54,1.22,28.33,6.45,6.01
2017_Japan,1.25,19.80,16.13,24.82,-0.07,0.81,1.50,0.57,0.10,0.50,2333.33,0.97,53.33,0.19,0.43,0.67,21.11,6.23,5.87
2017_Germany,2.27,23.47,16.13,23.72,0.07,1.03,2.17,0.75,0.04,0.21,916.67,0.49,52.78,0.35,0.87,0.94,30.56,5.72,5.50
2017_Canada,3.08,15.40,9.53,17.34,0.33,1.25,1.67,0.92,0.02,0.14,777.78,0.32,50.56,0.26,0.70,0.89,23.33,6.23,6.23
2017_India,1.32,64.53,194.33,18.51,-0.33,2.42,3.78,0.46,0.07,0.17,694.44,0.43,48.89,0.25,0.87,0.78,37.78,5.50,4.99
2018_USA,43.24,108.87,65.17,15.89,0.70,1.69,13.51,1.15,0.29,6.23,13138.89,45.43,60.19,7.71,23.82,1.89,39.72,6.75,7.21
2018_China,19.01,88.17,371.83,30.99,0.02,1.15,16.63,0.60,0.97,3.08,9475.56,15.39,45.19,2.53,12.60,1.32,34.17,7.44,6.75
2018_UAE,0.46,5.52,2.15,17.89,0.74,1.46,0.13,0.33,0.01,1.14,1775.56,2.56,25.33,1.01,0.66,0.91,16.19,7.59,5.98
2018_UK,4.68,29.90,14.57,15.83,0.19,1.38,2.99,0.90,0.04,0.33,1283.33,0.88,56.22,0.65,2.20,1.28,29.33,6.90,6.90
2018_France,3.07,19.93,13.03,15.33,0.25,1.00,2.20,0.95,0.03,0.38,1344.44,1.10,56.83,0.48,1.03,1.10,27.50,6.29,6.13
2018_South Korea,1.92,14.57,12.27,19.79,-0.01,1.23,2.02,0.72,0.16,0.64,1955.56,1.61,60.81,0.31,0.73,1.34,31.17,6.75,6.29
2018_Japan,1.30,20.70,16.87,25.95,-0.08,0.84,1.65,0.62,0.14,0.67,2566.67,1.32,58.67,0.26,0.59,0.73,23.22,6.52,6.13
2018_Germany,2.38,24.53,16.87,24.80,0.08,1.07,2.38,0.83,0.06,0.28,1008.33,0.66,58.06,0.47,1.17,1.04,33.61,5.98,5.75
2018_Canada,3.22,16.10,9.97,18.12,0.34,1.30,1.83,1.01,0.02,0.18,855.56,0.44,55.61,0.35,0.95,0.98,25.67,6.52,6.52
2018_India,1.38,67.47,203.17,19.35,-0.34,2.53,4.16,0.50,0.10,0.23,763.89,0.59,53.78,0.34,1.17,0.86,41.56,5.75,5.21
2019_USA,45.12,113.60,68.00,16.58,0.73,1.76,14.73,1.25,0.45,9.70,14333.33,70.77,65.67,12.01,37.10,2.07,43.33,7.04,7.52
2019_China,19.84,92.00,388.00,32.34,0.02,1.20,19.47,0.70,1.51,4.79,11093.33,23.97,52.91,3.94,19.63,1.55,40.00,7.76,7.04
