地区,消费支出,食品烟酒,衣着,居住,生活用品及服务,交通通信,教育文化娱乐,医疗保健,其他用品及服务
北京,50897,10584,2180,20261,2454,5072,4151,4609,1587
天津,37586,10384,1933,8411,2054,5036,4108,4205,1454
河北,27906,7755,1923,6617,1846,3691,2704,2538,831
山西,24524,6216,1755,5317,1556,3336,2975,2633,737
内蒙古,32249,8707,2414,6243,1875,5543,3270,3069,1127
辽宁,29091,8530,1780,5992,1524,3865,3168,3192,1039
吉林,26677,6967,1825,5304,1348,3942,3249,3076,966
黑龙江,25882,7608,1790,5207,1286,3333,2804,3104,751
上海,54919,13568,2077,19100,2357,5895,5339,4733,1849
江苏,40461,10746,2174,10971,2268,5822,3898,3185,1397
浙江,47762,12909,2623,11550,2848,7558,5298,3248,1728
安徽,27900,9164,1925,5968,1695,3170,3109,2131,737
福建,37674,11730,1847,10664,2053,4379,3795,2283,921
江西,27733,8628,1455,6017,1535,3569,3456,2400,672
山东,30251,8275,2050,6058,2327,4510,3742,2592,697
河南,25570,7436,1836,5487,1575,3099,2934,2506,698
湖北,31500,9247,1805,6795,1677,3877,3809,3453,837
湖南,31035,8835,1962,6167,1990,4336,4311,2739,695
广东,39333,12290,1559,10329,2011,5661,4115,2350,1018
广西,24427,7758,1036,5041,1320,3276,3142,2382,473
海南,28930,10775,1029,6985,1325,3529,2866,1857,565
重庆,31531,10033,2137,5926,2038,4031,3460,3003,903
四川,29280,9614,1852,5370,1870,4106,3017,2683,769
贵州,27693,7709,1727,4361,1688,5289,3559,2537,823
云南,28338,8843,1601,5769,1658,3744,3002,2966,756
西藏,28858,10005,2893,5763,2260,3875,1628,1551,884
陕西,27303,7562,1752,5969,1722,3594,2886,3148,670
甘肃,27044,7793,1871,6039,1583,3740,2937,2407,674
青海,25373,7490,1846,5005,1327,4359,2012,2547,787
宁夏,27076,7558,1780,4944,1768,4187,3160,2960,719
新疆,26134,8296,1852,4667,1520,3519,2248,2986,1045
