日期,收盘,开盘,高,低,交易量,涨跌幅
2026-03-13,4698.64,4669.06,4707.42,4669.06,123533.67K,0.24%
2026-03-12,4687.56,4700.72,4704.38,4654.31,302986.82K,-0.36%
2026-03-11,4704.5,4681.03,4711.87,4674.71,270175.44K,0.64%
2026-03-10,4674.76,4648.79,4677.6,4648.79,263903.75K,1.28%
2026-03-09,4615.46,4600.25,4625.98,4548.97,322787.62K,-0.97%
2026-03-06,4660.44,4621.49,4671.71,4612.79,238527.93K,0.27%
2026-03-05,4647.69,4651.94,4671.53,4630.3,259317.83K,0.98%
2026-03-04,4602.62,4609.19,4639.42,4575.82,303035.67K,-1.14%
2026-03-03,4655.9,4737.32,4744.6,4651.4,370624.27K,-1.54%
2026-03-02,4728.67,4681.01,4735.41,4667.28,349260.75K,0.38%
2026-02-27,4710.65,4698.3,4721.01,4692.89,261420.86K,-0.34%
2026-02-26,4726.87,4741.39,4742.15,4706.69,234847.64K,-0.19%
2026-02-25,4735.89,4713.58,4766.56,4713.34,284268.35K,0.60%
2026-02-24,4707.54,4727.3,4727.37,4698.35,218488.89K,1.01%
2026-02-13,4660.41,4693.41,4703.63,4658.4,189167.76K,-1.25%
2026-02-12,4719.58,4720.01,4726.04,4707.74,197841.44K,0.12%
2026-02-11,4713.82,4715.67,4723.7,4703.69,173391.68K,-0.22%
2026-02-10,4724.3,4718.26,4732.09,4713.87,187000.96K,0.11%
2026-02-09,4719.06,4693.67,4719.96,4679.9,207251.94K,1.63%
2026-02-06,4643.6,4622.97,4678.26,4606.64,202716.48K,-0.57%
2026-02-05,4670.42,4664.75,4687.02,4639.43,237856.35K,-0.60%
2026-02-04,4698.68,4647.97,4701.48,4641.84,264881.03K,0.83%
2026-02-03,4660.11,4648.36,4662.13,4578.21,265549.41K,1.18%
2026-02-02,4605.98,4674.28,4716.61,4601.76,304773.50K,-2.13%
2026-01-30,4706.34,4723.08,4738.87,4645.47,319786.53K,-1.00%
2026-01-29,4753.87,4733.09,4770.96,4696.05,415513.05K,0.76%
2026-01-28,4717.99,4725.6,4739.63,4697.91,382255.60K,0.26%
2026-01-27,4705.69,4705.17,4736.99,4675.64,301475.70K,-0.03%
2026-01-26,4706.96,4715.38,4754.18,4693.16,363004.48K,0.09%
2026-01-23,4702.5,4729.59,4734.79,4684.62,314635.45K,-0.45%
2026-01-22,4723.71,4741.75,4757.76,4700.45,274199.93K,0.01%
2026-01-21,4723.07,4714.55,4758.28,4714.24,266353.33K,0.09%
2026-01-20,4718.88,4736.91,4748.23,4684.97,282719.58K,-0.33%
2026-01-19,4734.46,4720.19,4761.63,4715.09,267612.49K,0.05%
2026-01-16,4731.87,4778.43,4792.55,4715.36,325278.93K,-0.41%
2026-01-15,4751.43,4721.8,4769.55,4720.94,254003.64K,0.20%
2026-01-14,4741.93,4767.7,4818.1,4720.25,364951.02K,-0.40%
2026-01-13,4761.03,4798.05,4836.95,4745.52,301449.50K,-0.60%
2026-01-12,4789.92,4769.65,4795.93,4737.57,294833.16K,0.65%
2026-01-09,4758.92,4725.96,4771.43,4719.13,254688.04K,0.45%
2026-01-08,4737.65,4761.01,4765.49,4717.01,238804.96K,-0.82%
2026-01-07,4776.67,4796.93,4802.6,4751.07,259095.56K,-0.29%
2026-01-06,4790.69,4719.21,4790.69,4718.01,296970.69K,1.55%
