"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2026-3-10","4,674.76","4,648.79","4,677.60","4,648.79","263.90K","1.28%"
"2026-3-9","4,615.46","4,600.25","4,625.98","4,548.97","322.79K","-0.97%"
"2026-3-6","4,660.44","4,621.49","4,671.71","4,612.79","238.53K","0.27%"
"2026-3-5","4,647.69","4,651.94","4,671.53","4,630.30","259.32K","0.98%"
"2026-3-4","4,602.62","4,609.19","4,639.42","4,575.82","303.04K","-1.14%"
"2026-3-3","4,655.90","4,737.32","4,744.60","4,651.40","370.62K","-1.54%"
"2026-3-2","4,728.67","4,681.01","4,735.41","4,667.28","349.26K","0.38%"
"2026-2-27","4,710.65","4,698.30","4,721.01","4,692.89","261.42K","-0.34%"
"2026-2-26","4,726.87","4,741.39","4,742.15","4,706.69","234.85K","-0.19%"
"2026-2-25","4,735.89","4,713.58","4,766.56","4,713.34","284.27K","0.60%"
"2026-2-24","4,707.54","4,727.30","4,727.37","4,698.35","218.49K","1.01%"
"2026-2-13","4,660.41","4,693.41","4,703.63","4,658.40","189.17K","-1.25%"
"2026-2-12","4,719.58","4,720.01","4,726.04","4,707.74","197.84K","0.12%"
"2026-2-11","4,713.82","4,715.67","4,723.70","4,703.69","173.39K","-0.22%"
"2026-2-10","4,724.30","4,718.26","4,732.09","4,713.87","187.00K","0.11%"
"2026-2-9","4,719.06","4,693.67","4,719.96","4,679.90","207.25K","1.63%"
"2026-2-6","4,643.60","4,622.97","4,678.26","4,606.64","202.72K","-0.57%"
"2026-2-5","4,670.42","4,664.75","4,687.02","4,639.43","237.86K","-0.60%"
"2026-2-4","4,698.68","4,647.97","4,701.48","4,641.84","264.88K","0.83%"
"2026-2-3","4,660.11","4,648.36","4,662.13","4,578.21","265.55K","1.18%"
