全周期,放罐体积,出胶率,预处理ph,强度,白度
52.16666667,37.75,1.72,3.81,509,38.8
54.86666667,37.94,1.86,3.92,725,41.4
52.83333333,38.76,1.78,3.85,873,43.4
52.83333333,38.7,1.84,4.17,628,44.8
51.83333333,38.3,1.87,4.18,885,47
52.96666667,39.32,1.8,4.16,810,47.7
53.93333333,38.46,1.81,3.98,673,47.8
53.83333333,38.38,1.78,4.18,764,49.1
53.23333333,38.28,1.87,4.12,1007,49.3
53.5,38.63,1.86,3.99,764,49.5
53.93333333,38.57,1.79,4.31,747,50.4
51.43333333,39.5,1.78,3.92,750,51.8
52.23333333,38.89,1.73,4.19,680,52.6
52.36666667,37.62,1.82,4.34,730,53.3
52.63333333,38.04,1.76,4.2,890,53.7
54.33333333,38.27,1.84,4.46,1022,55.3
52.93333333,37.42,1.9,4.35,1170,59.5
